KLUB\GODZ.,15:30 Z,15:30 R,15:30 P,18:00 Z,18:00 R,18:00 P,20:30 Z,20:30 R,20:30 P
Arka Gdynia,3,3,2,6,6,10,1,3,3
Cracovia,4,2,1,10,3,7,3,1,6
Górnik Zabrze,3,2,3,7,5,6,2,3,6
Jagiellonia,2,3,2,9,4,5,5,2,4
Korona Kielce,5,6,4,4,1,5,3,4,5
Lech Poznań,1,0,0,9,4,8,5,3,7
Lechia Gdańsk,0,0,1,12,7,4,7,3,3
Legia Warszawa,3,1,1,4,4,3,13,3,5
Miedź Legnica,5,5,5,3,4,7,1,1,4
Piast Gliwice,3,1,3,13,6,2,4,2,2
Pogoń Szczecin,3,4,2,8,4,8,2,2,3
Śląsk Wrocław,6,1,1,4,6,12,2,1,4
Wisła Kraków,0,0,3,8,5,7,6,2,6
Wisła Płock,3,6,6,5,4,9,2,1,0
Zagłębie Lubin,3,2,4,9,5,8,3,1,2
Zagłębie Sosnowiec,3,4,9,1,4,11,3,0,2
