ZAWODNIK,KLUB,GOLE
Jakub Świerczok,Piast Gliwice,15
Kamil Biliński,Podbeskidzie,11
Patryk Szysz,Zagłębie Lubin,8
Filip Starzyński,Zagłębie Lubin,7
Mateusz Kuzimski,Warta Poznań,7
Łukasz Zwoliński,Lechia Gdańsk,6
Maciej Domański,Stal Mielec,6
Marcin Cebula,Raków Częstochowa,6
Mateusz Szwoch,Wisła Płock,6
Michał Kucharczyk,Pogoń Szczecin,6
Patryk Tuszyński,Wisła Płock,6
Alan Uryga,Wisła Płock,5
Bartosz Nowak,Górnik Zabrze,5
Fabian Piasecki,Śląsk Wrocław,4
Jakub Błaszczykowski,Wisła Kraków,4
Jakub Moder,Lech Poznań,4
Piotr Krawczyk,Górnik Zabrze,4
Mateusz Mak,Stal Mielec,4
Dawid Kocyła,Wisła Płock,4
Jan Grzesik,Warta Poznań,4
Dominik Steczyk,Piast Gliwice,4
Michał Żyro,Piast Gliwice,4
Adam Frączczak,Pogoń Szczecin,3
Bartosz Kapustka,Legia Warszawa,3
Damian Rasak,Wisła Płock,3
Kamil Drygas,Pogoń Szczecin,3
Maciej Makuszewski,Jagiellonia,3
Michał Nalepa II,Lechia Gdańsk,3
Paweł Wszołek,Legia Warszawa,3
Łukasz Trałka,Warta Poznań,3
Mateusz Kupczak,Warta Poznań,3
Sebastian Kowalczyk,Pogoń Szczecin,3
Adrian Benedyczak,Pogoń Szczecin,3
Bartłomiej Pawłowski,Śląsk Wrocław,3
Grzegorz Tomasiewicz,Stal Mielec,3
Marcin Flis,Stal Mielec,3
Rafał Janicki,Podbeskidzie,3
Kacper Chodyna,Zagłębie Lubin,2
Maciej Gajos,Lechia Gdańsk,2
Maciej Sadlok,Wisła Kraków,2
Michał Skóraś,Lech Poznań,2
Piotr Celeban,Śląsk Wrocław,2
Taras Romanczuk,Jagiellonia,2
Damian Michalski,Wisła Płock,2
Krystian Getinger,Stal Mielec,2
Bartosz Slisz,Legia Warszawa,2
Filip Piszczek,Cracovia,2
Krzysztof Mączyński,Śląsk Wrocław,2
Kamil Piątkowski,Raków Częstochowa,2
Sebastian Milewski,Piast Gliwice,2
Patryk Sokołowski,Piast Gliwice,2
Piotr Malarczyk,Piast Gliwice,2
Bartłomiej Wdowik,Jagiellonia,2
Michał Jakóbowski,Warta Poznań,2
Kamil Kruk,Zagłębie Lubin,2
Andrzej Niewulis,Raków Częstochowa,2
Rafał Boguski,Wisła Kraków,2
Rafał Wolski,Wisła Płock,2
Rafał Kurzawa,Pogoń Szczecin,2
Karol Podliński,Zagłębie Lubin,2
Maciej Jankowski,Stal Mielec,2
Bartosz Kopacz,Lechia Gdańsk,2
Bartosz Bida,Jagiellonia,2
Karol Fila,Lechia Gdańsk,1
Aleksander Komor,Podbeskidzie,1
Daniel Ściślak,Górnik Zabrze,1
Dawid Szymonowicz,Cracovia,1
Jakub Kamiński,Lech Poznań,1
Karol Danielak,Podbeskidzie,1
Mateusz Praszelik,Śląsk Wrocław,1
Michał Rzuchowski,Podbeskidzie,1
Patryk Kun,Raków Częstochowa,1
Paweł Bochniewicz,Górnik Zabrze,1
Paweł Tomczyk,Stal Mielec,1
Przemysław Wiśniewski,Górnik Zabrze,1
Rafał Pietrzak,Lechia Gdańsk,1
Tomasz Nowak,Podbeskidzie,1
Tymoteusz Puchacz,Lech Poznań,1
Waldemar Sobota,Śląsk Wrocław,1
Wojciech Golla,Śląsk Wrocław,1
Aleks Ławniczak,Warta Poznań,1
Bartosz Kieliba,Warta Poznań,1
Patryk Lipski,Piast Gliwice,1
Filip Marchwiński,Lech Poznań,1
Patryk Plewka,Wisła Kraków,1
Jakub Kuzdra,Warta Poznań,1
Maksymilian Sitek,Podbeskidzie,1
Kacper Smoliński,Pogoń Szczecin,1
Jakub Rzeźniczak,Wisła Płock,1
Jarosław Kubicki,Lechia Gdańsk,1
Kacper Skibicki,Legia Warszawa,1
Daniel Szelągowski,Raków Częstochowa,1
Oskar Zawada,Raków Częstochowa,1
Jakub Czerwiński,Piast Gliwice,1
Mateusz Marzec,Podbeskidzie,1
Maciej Żurawski,Pogoń/Warta,1
Łukasz Zjawiński,Stal Mielec,1
Marcel Zylla,Śląsk Wrocław,1
Przemysław Mystkowski,Jagiellonia,1
Jakub Kiełb,Warta Poznań,1
Michał Chrapek,Piast Gliwice,1
Jakub Bartkowski,Pogoń Szczecin,1
Kacper Kozłowski,Pogoń Szczecin,1
Robert Janicki,Warta Poznań,1
Mateusz Lewandowski,Wisła Płock,1
Łukasz Burliga,Wisła Kraków,1
Mariusz Rybicki,Warta Poznań,1
Michał Koj,Górnik Zabrze,1
Mateusz Wieteska,Legia Warszawa,1
David Niepsuj,Podbeskidzie,1
Konrad Poprawa,Śląsk Wrocław,1
Patryk Janasik,Śląsk Wrocław,1
Kacper Kostorz,Legia Warszawa,1
Bartosz Salamon,Lech Poznań,1
Maik Nawrocki,Warta Poznań,1
Mateusz Matras,Stal Mielec,1
Tomasz Makowski,Lechia Gdańsk,1
Damian Oko,Zagłębie Lubin,1
Jakub Arak,Raków Częstochowa,1
Piotr Starzyński,Wisła Kraków,1
