,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,2,8,0,0,5,0,0,1,1 *,3 *,0,3,0,1,5,0,6
GÓR,7,-,1,1,0,7,1,0,2,0,1,2,2,0,3,4,0,2
JAG,1,5,-,2,4,2,9 *,0,0,1 *,2,0,3,2,1,2,3,1
KOR,0,2,0,-,3,0,6 *,0,0,1 *,2 *,4,4 *,2 *,0,0,0,1
LPO,0,0,0,2,-,1,3,3,1,1 *,2,3,3,7,0,9 *,8,3
LEG,1,1,0,5,0,-,6,3,0,0,4 *,12,9 *,10,0,0,1,5
ŁKS,2,3,0,5 *,10,0,-,0,1,1 *,2 *,0,0,1,3,5,1,4
PIA,0,2,0,0,1,0,3 *,-,0,1 *,2,0,3,2,0,4 *,4 *,3
POG,2,4,4,1,1,3,3,1,-,1 *,4 *,2,0,5,4,0,3,6
PUN,0,1 *,0,0,1 *,0,1 *,1 *,1 *,-,0,0,0,1 *,1 *,1 *,1 *,0
RAD,3 *,0,1,0,0,3,2 *,0,2,0,-,2 *,1,2,2,3 *,3 *,3 *
RCH,12,4,5,0,3,2,1,2,4,0,0,-,3,0,0,0,4,0
RCZ,0,3,1,3 *,2,0,1,5 *,2,1 *,2,0,-,5,2,0,0,1
STM,0,7,1,2 *,0,3,3,0,0,1 *,1,4,0,-,2,5,0,7
ŚLĄ,1,0,1,0,3,1,7,7,2,0,2,3,0,1,-,2,1,2
WAR,0,1,2,2 *,5,5,4,0,2,1 *,0,0,1,1,4 *,-,3,0
WID,5,3,1,4,0,3,2,3,1,1 *,3 *,4,1,3,2,5 *,-,2
ZAG,0,5,1,1,0,11,5,0,3,1 *,3 *,6,4,0,1,1,0,-
