KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,7,5,2,0,4,0,3,1,6,0,2,4
Górnik Zabrze,9,7,2,0,6,2,3,1,2,0,0,2
Jagiellonia,11,10,1,0,2,1,1,0,4,1,1,2
Korona Kielce,7,5,2,0,6,1,3,2,4,0,3,1
Lech Poznań,9,7,1,1,5,2,2,1,3,0,1,2
Legia Warszawa,6,5,1,0,8,3,3,2,3,0,2,1
ŁKS Łódź,5,3,2,0,6,2,2,2,6,0,1,5
Piast Gliwice,6,4,1,1,10,3,6,1,1,0,0,1
Pogoń Szczecin,5,4,0,1,6,4,1,1,6,1,1,4
Puszcza Niepołomice,7,2,4,1,6,4,1,1,4,1,3,0
Radomiak Radom,5,4,0,1,6,0,4,2,6,0,1,5
Raków Częstochowa,10,8,1,1,3,2,0,1,4,0,4,0
Ruch Chorzów,3,3,0,0,8,1,5,2,6,0,2,4
Stal Mielec,6,5,1,0,9,2,5,2,2,1,0,1
Śląsk Wrocław,8,6,1,1,6,3,2,1,3,0,1,2
Warta Poznań,6,4,2,0,6,1,3,2,5,0,0,5
Widzew Łódź,4,4,0,0,7,4,1,2,6,1,0,5
Zagłębie Lubin,6,3,3,0,7,3,2,2,4,1,0,3
