KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% po SFG,Z GRY,% Z GRY,SUMA,778,85,108,70,15,21,300,"38,56%",478,"61,44%"
Arka Gdynia,48,4,8,9,0,2,23,"47,92%",25,"52,08%"
Bruk-Bet,66,10,5,3,2,1,21,"31,82%",45,"68,18%"
Cracovia,52,5,8,0,2,2,17,"32,69%",35,"67,31%"
Górnik Zabrze,55,7,4,6,2,1,20,"36,36%",35,"63,64%"
Jagiellonia,41,4,8,5,2,2,21,"51,22%",20,"48,78%"
Korona Kielce,54,5,4,1,1,2,13,"24,07%",41,"75,93%"
Lech Poznań,33,5,3,4,1,1,14,"42,42%",19,"57,58%"
Lechia Gdańsk,58,5,6,8,0,3,22,"37,93%",36,"62,07%"
Legia Warszawa,35,6,5,2,1,0,14,"40,00%",21,"60,00%"
Piast Gliwice,45,5,8,2,0,1,16,"35,56%",29,"64,44%"
Pogoń Szczecin,54,4,11,4,1,1,21,"38,89%",33,"61,11%"
Sandecja,54,6,9,5,0,2,22,"40,74%",32,"59,26%"
Śląsk Wrocław,54,6,7,10,1,1,26,"48,15%",28,"51,85%"
Wisła Kraków,42,4,9,3,0,2,18,"42,86%",24,"57,14%"
Wisła Płock,45,5,6,4,2,0,17,"37,78%",28,"62,22%"
Zagłębie Lubin,42,4,7,4,0,0,15,"35,71%",27,"64,29%"
