Lp.,BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK
1.,Dusan Kuciak,Lechia Gdańsk,28,16,136,432,799,"75,2%",85,113,28,"44,0%"
2.,Frantisek Plach,Piast Gliwice,25,12,148,334,334,"80,0%",84,105,21,"48,0%"
3.,Michal Pesković,Cracovia,26,10,16,348,469,"73,5%",72,98,26,"25,0%"
4.,Jakub Słowik,Śląsk Wrocław,35,10,243,366,366,"71,6%",101,141,42,"25,0%"
5.,Pavels Steinbors,Arka Gdynia,37,9,19,263,327,"69,3%",113,163,51,"25,0%"
6.,Jasmin Burić,Lech Poznań,26,8,19,216,465,"71,3%",87,122,37,"40,8%"
7.,Martin Chudy,Górnik Zabrze,17,7,173,209,209,"74,6%",47,63,16,"41,2%"
8.,Radosław Majecki,Legia Warszawa,14,7,32,381,381,"70,3%",26,37,12,"50,0%"
9.,Łukasz Załuska,Pogoń Szczecin,25,7,17,235,328,"65,3%",66,101,36,"26,2%"
10.,Radosław Cierzniak,Legia Warszawa,15,6,86,271,342,"80,0%",48,60,12,"30,6%"
11.,Anton Kanibołoćkyj,Miedź Legnica,20,6,34,194,194,"73,4%",80,109,30,"30,0%"
12.,Mateusz Lis,Wisła Kraków,33,6,0,257,257,"69,5%",139,200,62,"18,2%"
13.,Marian Kelemen,Jagiellonia Białystok,27,5,12,407,698,"68,7%",90,131,42,"32,1%"
14.,Konrad Forenc,Zagłębie Lubin,14,5,0,372,372,"68,3%",28,41,13,"22,6%"
15.,Matthias Hamrol,Korona Kielce,27,5,10,274,274,"67,3%",72,107,36,"16,1%"
16.,Jakub Szmatuła,Piast Gliwice,12,4,181,181,651,"75,6%",34,45,12,"31,2%"
17.,Dominik Hładun,Zagłębie Lubin,22,4,49,306,306,"71,9%",82,114,33,"29,7%"
18.,Grzegorz Sandomierski,Jagiellonia/Cracovia,9,3,19,301,563,"73,7%",28,38,10,"29,3%"
19.,Bartłomiej Żynel,Wisła Płock,6,3,187,187,187,"73,1%",19,26,7,"50,0%"
20.,Thomas Dahne,Wisła Płock,28,3,49,253,253,"65,9%",91,138,48,"18,6%"
21.,Jakub Bursztyn,Pogoń Szczecin,10,3,215,215,215,"65,9%",27,41,15,"25,0%"
22.,Matus Putnocky,Lech Poznań,10,2,63,257,375,"72,5%",29,40,11,"39,7%"
23.,Zlatan Alomerović,Lechia Gdańsk,9,2,0,200,242,"69,0%",20,29,10,"30,0%"
24.,Dawid Kudła,Zagłębie Sosnowiec,22,2,0,170,271,"68,8%",119,173,54,"18,0%"
25.,Lukas Hrosso,Zagłębie Sosnowiec,12,2,96,199,199,"68,2%",45,66,22,"16,7%"
26.,Tomasz Loska,Górnik Zabrze,20,2,12,174,174,"65,7%",65,99,36,"14,3%"
27.,Maciej Gostomski,Cracovia,11,2,58,157,316,"61,4%",27,44,17,"29,7%"
28.,Michał Miśkiewicz,Korona Kielce,8,2,0,163,378,"61,4%",27,44,17,"30,4%"
29.,Michał Buchalik,Wisła Kraków,2,1,108,158,304,"87,5%",7,8,1,"27,3%"
30.,Paweł Sokół,Korona Kielce,2,1,31,148,148,"83,3%",5,6,1,"50,0%"
31.,Sosłan Dżanajew,Miedź Legnica,7,1,0,164,164,"69,0%",29,42,13,"14,3%"
32.,Łukasz Sapela,Miedź Legnica,10,1,0,132,752,"58,7%",27,46,22,"38,6%"
33.,Arkadiusz Malarz,Legia Warszawa,8,1,89,203,588,"56,3%",18,32,14,"39,3%"
34.,Daniel Bielica,Górnik Zabrze,1,0,33,56,56,"66,7%",2,3,1,"0,0%"
35.,Piotr Leciejewski,Zagłębie Lubin,0,0,8,8,217,"66,7%",2,3,2,"20,0%"
36.,Jakub Wrąbel,Śląsk Wrocław,2,0,65,81,173,"62,5%",5,8,3,"13,3%"
37.,Łukasz Budziłek,Pogoń Szczecin,1,0,0,79,181,"50,0%",2,4,3,"16,7%"
38.,Marcel Zapytowski,Wisła Płock,1,0,6,65,65,"50,0%",3,6,3,"0,0%"
39.,Matko Perdijić,Zagłębie Sosnowiec,1,0,28,37,336,"50,0%",4,8,4,"34,2%"
