KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Arka,"11,24","5,30","26,02%","47,12%",6,"16,22%","3,06%"
Cracovia,"13,73","5,00","23,78%","36,42%",4,"9,52%","2,16%"
Górnik,"13,05","4,73","24,00%","36,23%",5,"10,64%","2,86%"
Jagiellonia,"14,97","6,22","19,57%","41,52%",6,"13,04%","2,61%"
Korona,"13,38","6,81","28,97%","50,91%",6,"23,08%","2,38%"
Lech,"16,65","7,89","27,05%","47,40%",10,"14,49%","3,42%"
Lechia,"11,84","4,22","21,15%","35,62%",3,"6,38%","1,92%"
Legia,"16,57","5,54","29,76%","33,44%",6,"8,96%","2,93%"
ŁKS,"14,51","7,70","23,16%","53,07%",3,"9,09%","1,05%"
Piast,"13,76","5,03","26,34%","36,54%",0,"0,00%","0,00%"
Pogoń,"13,84","6,38","24,58%","46,09%",8,"21,62%","3,39%"
Raków,"13,49","5,51","27,45%","40,88%",8,"17,39%","3,92%"
Śląsk,"12,78","5,38","24,62%","42,07%",7,"14,00%","3,52%"
Wisła K,"11,35","5,22","26,94%","45,95%",7,"16,28%","3,63%"
Wisła P,"10,73","4,32","27,50%","40,30%",6,"13,64%","3,75%"
Zagłębie,"14,89","6,19","26,20%","41,56%",6,"10,17%","2,62%"
