KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Legia Warszawa,37,69,21,6,10,70,35,35,"1,86","1,89","0,95"
Lech Poznań,37,66,18,12,7,70,35,35,"1,78","1,89","0,95"
Piast Gliwice,37,61,18,7,12,41,32,9,"1,65","1,11","0,86"
Lechia Gdańsk,37,56,15,11,11,48,50,-2,"1,51","1,30","1,35"
Śląsk Wrocław,37,54,14,12,11,51,46,5,"1,46","1,38","1,24"
Pogoń Szczecin,37,54,14,12,11,37,39,-2,"1,46","1,00","1,05"
Cracovia,37,53,16,5,16,49,40,9,"1,43","1,32","1,08"
Jagiellonia Białystok,37,52,14,10,13,48,51,-3,"1,41","1,30","1,38"
Górnik Zabrze,37,53,14,11,12,51,47,4,"1,43","1,38","1,27"
Raków Częstochowa,37,53,16,5,16,51,56,-5,"1,43","1,38","1,51"
Zagłębie Lubin,37,53,15,8,14,61,53,8,"1,43","1,65","1,43"
Wisła Płock,37,51,14,9,14,45,54,-9,"1,38","1,22","1,46"
Wisła Kraków,37,45,13,6,18,44,56,-12,"1,22","1,19","1,51"
Arka Gdynia,37,40,10,10,17,39,57,-18,"1,08","1,05","1,54"
Korona Kielce,37,35,9,8,20,29,48,-19,"0,95","0,78","1,30"
ŁKS Łódź,37,24,6,6,25,33,68,-35,"0,65","0,89","1,84"
