KLUB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Średnia,DR,ŚREDNIA,"26,84","26,95","26,89","26,68","26,63","26,57","26,44","26,49","26,58","26,32","26,52","26,41","26,55","26,23","27,45","27,35","27,17","27,48","27,48","27,00","27,30","27,45","27,32","26,93","27,20","27,27","27,23","27,01","26,90","26,73",,
Cracovia,"25,55","25,73","25,73","25,64","24,73","25,18","24,73","25,18","24,64","24,00","24,91","25,09","25,00","24,82","26,27","25,91","25,73","26,00","25,91","27,09","26,73","26,36","26,18","26,18","27,36","27,00","27,36","27,45","26,00","25,64","25,80",CRA
Górnik Zabrze,"25,09","25,09","25,64","25,64","25,64","25,64","24,55","25,91","24,64","24,27","24,09","24,09","25,45","25,45","25,00","25,64","24,91","25,64","26,45","26,27","25,36","25,36","25,27","24,27","25,00","25,82","25,82","24,64","25,00","24,64","25,21",GÓR
Jagiellonia Białystok,"28,27","27,36","27,73","27,36","27,36","26,18","28,09","26,09","26,73","25,45","25,27","27,09","27,18","26,27","26,73","28,00","27,27","27,36","27,45","24,82","26,64","27,82","27,36","26,00","26,73","27,45","28,82","27,36","26,09","25,55","26,93",JAG
Lech Poznań,"25,09","25,09","25,36","24,73","24,82","25,36","25,00","24,27","25,82","25,73","26,00","26,18","25,18","24,82","25,00","27,00","25,82","27,36","27,36","27,55","27,27","26,91","25,09","26,91","27,73","26,82","26,73","26,45","26,64","27,09","26,04",LPO
Lechia Gdańsk,"27,64","25,91","27,73","26,73","26,91","26,73","26,73","26,73","26,27","25,27","26,64","27,00","25,18","26,27","26,91","28,27","27,82","27,82","27,64","28,27","28,27","28,27","28,36","28,00","28,91","27,73","27,18","28,73","28,18","29,18","27,38",LGD
Legia Warszawa,"27,73","28,27","28,18","28,64","28,27","29,45","28,27","28,45","28,64","27,64","28,91","28,91","28,18","27,55","29,09","28,73","27,09","26,91","28,82","27,36","28,36","28,91","29,00","29,00","29,00","28,55","28,45","26,55","26,55","27,64","28,24",LEG
Piast Gliwice,"26,82","27,55","27,18","27,00","27,55","25,82","26,91","26,91","27,09","27,09","27,09","26,82","28,00","27,82","28,18","28,18","27,64","27,91","28,82","28,45","27,36","29,36","28,91","28,55","28,55","27,82","27,82","28,27","28,82","29,00","27,78",PIA
Podbeskidzie Bielsko-Biała,"27,73","28,00","28,09","27,55","27,09","27,82","27,73","27,00","27,36","28,82","27,18","27,00","28,64","25,09","27,91","28,18","28,00","28,91","28,55","27,82","28,64","29,36","29,55","29,73","29,82","28,55","28,55","28,18","29,00","27,18","28,10",POD
Pogoń Szczecin,"27,00","27,73","27,91","26,73","26,00","26,36","26,09","26,55","26,36","26,36","26,55","26,27","26,55","26,45","27,91","27,45","27,36","27,82","27,27","26,55","27,82","27,91","28,36","27,00","26,73","26,55","27,18","25,91","25,91","25,91","26,88",POG
Raków Częstochowa,"25,91","25,91","25,91","25,91","25,91","25,73","25,73","25,82","26,09","26,18","26,27","25,64","25,82","26,36","27,18","27,27","25,82","25,91","26,36","25,91","25,91","24,00","26,09","25,82","25,73","25,73","25,73","26,09","26,36","24,27","25,91",RCZ
Stal Mielec,"27,36","27,18","26,55","26,55","27,09","27,00","26,27","25,45","27,00","25,91","26,55","27,36","26,73","26,73","29,00","28,00","28,91","29,27","29,36","28,45","29,45","28,82","28,82","27,55","27,45","29,09","28,55","27,82","27,09","27,18","27,62",STM
Śląsk Wrocław,"28,91","28,91","28,73","28,18","29,36","29,36","29,64","28,36","28,91","29,64","28,36","26,64","27,82","27,18","28,45","28,45","28,18","29,45","28,55","27,45","28,36","27,64","26,45","26,55","25,36","27,00","26,27","26,36","27,82","27,82","28,01",ŚLĄ
Warta Poznań,"26,64","27,27","27,45","27,18","27,18","26,36","25,00","26,82","26,18","26,91","26,91","26,00","27,09","26,64","28,27","27,45","27,73","27,45","27,64","27,45","26,00","27,45","27,00","27,00","26,73","27,45","26,91","26,36","26,91","26,91","26,95",WAR
Wisła Kraków,"26,64","27,09","25,55","25,82","25,82","25,91","25,55","26,27","26,18","26,09","25,18","25,09","25,82","25,00","28,27","26,73","27,55","26,36","24,91","25,91","26,82","27,55","26,91","26,18","26,91","25,73","26,36","26,36","24,45","26,45","26,18",WIS
Wisła Płock,"25,45","26,36","26,27","26,00","26,00","26,00","26,82","27,09","27,45","26,55","28,27","27,45","26,09","27,27","28,09","26,91","28,09","28,18","28,09","26,18","26,91","26,55","26,91","27,00","27,91","28,73","27,64","29,27","29,27","27,36","27,21",WPŁ
Zagłębie Lubin,"27,55","27,82","26,18","27,27","26,27","26,27","25,91","27,00","25,91","25,18","26,18","26,00","26,00","25,91","26,91","25,45","26,82","27,27","26,55","26,45","26,91","26,91","26,91","25,18","25,27","26,36","26,36","26,36","26,36","25,82","26,38",ZAG
