POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Piast Gliwice,34,60,14,18,2,37,29,8,"78,4%",+7
2.,Stal Mielec,34,53,14,11,9,36,23,13,"63,9%",+10
3.,Pogoń Szczecin,34,52,13,13,8,57,31,26,"54,4%",-8
4.,Korona Kielce,34,52,14,10,10,39,27,12,"69,2%",+11
5.,Raków Częstochowa,34,51,13,12,9,63,23,40,"36,5%",-24
6.,Wisła Płock,34,51,13,12,9,41,25,16,"61,0%",+14
7.,Górnik Zabrze,34,47,11,14,9,45,24,21,"53,3%",-1
8.,Legia Warszawa,34,46,10,16,8,57,22,35,"38,6%",-20
9.,Lech Poznań,34,46,11,13,10,51,20,31,"39,2%",-15
10.,Cracovia,34,46,12,10,12,41,21,20,"51,2%",0
11.,Widzew Łódź,34,46,11,13,10,38,22,16,"57,9%",+5
12.,Zagłębie Lubin,34,46,11,13,10,35,24,11,"68,6%",+1
13.,Lechia Gdańsk,34,45,11,12,11,29,19,10,"65,5%",+15
14.,Warta Poznań,34,42,9,15,10,37,16,21,"43,2%",-3
15.,Jagiellonia Białystok,34,32,4,20,10,48,11,37,"22,9%",-9
16.,Radomiak Radom,34,30,5,15,14,34,9,25,"26,5%",-14
17.,Miedź Legnica,34,24,3,15,16,33,6,27,"18,2%",+1
18.,Śląsk Wrocław,34,23,1,20,13,35,6,29,"17,1%",-15
