KLUB,CZAS,MIN ZAGR,% ZAGR,ZAW,ZAGR,G,G ZAGR,% G ZAGR,,603824,293489,"48,61%",526,232,823,486,"59,05%"
Cracovia,33579,19455,"57,94%",29,13,45,24,"53,33%"
Górnik Zabrze,33444,15284,"45,70%",26,12,45,27,"60,00%"
Jagiellonia Białystok,33574,20291,"60,44%",27,14,77,51,"66,23%"
Korona Kielce,33642,19101,"56,78%",28,14,40,33,"82,50%"
Lech Poznań,33554,20648,"61,54%",26,14,47,33,"70,21%"
Legia Warszawa,33432,19427,"58,11%",30,16,51,39,"76,47%"
ŁKS Łódź,33488,16128,"48,16%",37,15,34,29,"85,29%"
Piast Gliwice,33550,10172,"30,32%",29,10,38,13,"34,21%"
Pogoń Szczecin,33607,23212,"69,07%",29,14,59,36,"61,02%"
Puszcza Niepołomice,33583,8007,"23,84%",33,8,39,12,"30,77%"
Radomiak Radom,33429,18611,"55,67%",33,20,41,33,"80,49%"
Raków Częstochowa,33563,26136,"77,87%",34,23,54,35,"64,81%"
Ruch Chorzów,33523,4527,"13,50%",37,6,40,7,"17,50%"
Stal Mielec,33552,13097,"39,03%",26,10,42,26,"61,90%"
Śląsk Wrocław,33598,18497,"55,05%",31,12,50,37,"74,00%"
Warta Poznań,33598,13470,"40,09%",30,10,33,15,"45,45%"
Widzew Łódź,33582,19151,"57,03%",29,14,45,29,"64,44%"
Zagłębie Lubin,33526,8275,"24,68%",26,9,43,7,"16,28%"
