KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,14,7,7,0,16,1,4,11
Górnik Zabrze,21,14,5,2,11,1,1,9
Jagiellonia,20,16,1,3,13,2,7,4
Korona Kielce,11,7,3,1,20,1,8,11
Lech Poznań,16,11,4,1,13,3,2,8
Legia Warszawa,19,15,4,0,13,1,5,7
ŁKS Łódź,10,5,4,1,24,1,2,21
Piast Gliwice,16,9,5,2,11,0,4,7
Pogoń Szczecin,14,12,1,1,18,4,4,10
Puszcza Niepołomice,20,8,8,4,12,1,3,8
Radomiak Radom,14,10,2,2,18,0,4,14
Raków Częstochowa,18,12,4,2,15,2,5,8
Ruch Chorzów,12,6,3,3,18,0,7,11
Stal Mielec,10,8,1,1,18,3,3,12
Śląsk Wrocław,19,15,3,1,11,3,2,6
Warta Poznań,16,9,7,0,15,0,0,15
Widzew Łódź,14,10,1,3,19,3,5,11
Zagłębie Lubin,17,11,5,1,16,2,2,12
